Task B3: Countries with Temperatures from -10.0 to 10.0
Temperature,Year,Month,Country,Country_Code
-8.08(C) 17.46(F),2008,Dec,Kazakhstan,KAZ
-8.07(C) 17.47(F),2011,Jan,Norway,NOR
-8.04(C) 17.52(F),2012,Feb,Norway,NOR
-8.04(C) 17.53(F),2014,Nov,Mongolia,MNG
-8.04(C) 17.54(F),2013,Mar,Norway,NOR
-8.02(C) 17.56(F),2008,Dec,Kyrgyzstan,KGZ
-8.00(C) 17.61(F),2001,Dec,Belarus,BLR
-7.96(C) 17.67(F),2013,Dec,Armenia,ARM
-7.95(C) 17.69(F),2005,Jan,China,CHN
-7.94(C) 17.70(F),2012,Feb,Armenia,ARM
-7.94(C) 17.70(F),2003,Dec,Korea. Democratic People's Republic of,PRK
-7.93(C) 17.72(F),2013,Mar,Sweden,SWE
-7.92(C) 17.74(F),2006,Feb,Belarus,BLR
-7.92(C) 17.74(F),2007,Nov,Mongolia,MNG
-7.91(C) 17.76(F),2002,Dec,Lithuania,LTU
-7.91(C) 17.77(F),2010,Feb,Estonia,EST
-7.90(C) 17.77(F),2002,Nov,Finland,FIN
-7.90(C) 17.78(F),2000,Jan,Tajikistan,TJK
-7.89(C) 17.79(F),2016,Dec,Kyrgyzstan,KGZ
-7.89(C) 17.80(F),2006,Feb,Kazakhstan,KAZ
-7.88(C) 17.81(F),2014,Jan,Tajikistan,TJK
-7.88(C) 17.82(F),2009,Jan,Tajikistan,TJK
-7.88(C) 17.82(F),2015,Feb,Kazakhstan,KAZ
-7.86(C) 17.86(F),2014,Feb,Korea. Democratic People's Republic of,PRK
-7.85(C) 17.88(F),2007,Apr,Canada,CAN
-7.84(C) 17.89(F),2011,Feb,Belarus,BLR
-7.84(C) 17.89(F),2006,Jan,Sweden,SWE
-7.83(C) 17.90(F),2000,Feb,Tajikistan,TJK
-7.83(C) 17.91(F),2016,Dec,Kazakhstan,KAZ
-7.82(C) 17.93(F),2002,Feb,Kyrgyzstan,KGZ
-7.80(C) 17.95(F),2009,Jan,Armenia,ARM
-7.80(C) 17.96(F),2002,Dec,Ukraine,UKR
-7.80(C) 17.97(F),2005,Nov,Mongolia,MNG
-7.78(C) 17.99(F),2003,Feb,Finland,FIN
-7.74(C) 18.06(F),2007,Feb,Latvia,LVA
-7.74(C) 18.06(F),2010,Feb,Tajikistan,TJK
-7.74(C) 18.06(F),2006,Feb,Norway,NOR
-7.66(C) 18.21(F),2013,Feb,Norway,NOR
-7.65(C) 18.22(F),2016,Feb,Korea. Democratic People's Republic of,PRK
-7.65(C) 18.23(F),2014,Dec,Kazakhstan,KAZ
-7.65(C) 18.23(F),2015,Jan,Tajikistan,TJK
-7.63(C) 18.27(F),2015,Jan,Sweden,SWE
-7.62(C) 18.28(F),2001,Mar,Norway,NOR
-7.61(C) 18.31(F),2009,Dec,Norway,NOR
-7.59(C) 18.34(F),2012,Feb,Moldova,MDA
-7.58(C) 18.35(F),2002,Jan,Tajikistan,TJK
-7.57(C) 18.37(F),2012,Jan,Norway,NOR
-7.56(C) 18.40(F),2008,Dec,Korea. Democratic People's Republic of,PRK
-7.54(C) 18.43(F),2010,Dec,Kazakhstan,KAZ
-7.54(C) 18.44(F),2011,Feb,Tajikistan,TJK
-7.53(C) 18.44(F),2006,Dec,Korea. Democratic People's Republic of,PRK
-7.50(C) 18.50(F),2013,Feb,Sweden,SWE
-7.50(C) 18.50(F),2009,Feb,Kyrgyzstan,KGZ
-7.50(C) 18.50(F),2008,Feb,Georgia,GEO
-7.50(C) 18.51(F),2016,Feb,Kyrgyzstan,KGZ
-7.49(C) 18.52(F),2003,Jan,China,CHN
-7.48(C) 18.53(F),2005,Jan,Armenia,ARM
-7.48(C) 18.53(F),2016,Jan,Latvia,LVA
-7.48(C) 18.54(F),2010,Dec,Latvia,LVA
-7.47(C) 18.55(F),2000,Feb,Finland,FIN
-7.47(C) 18.56(F),2002,Jan,Georgia,GEO
-7.46(C) 18.58(F),2011,Feb,Lithuania,LTU
-7.45(C) 18.60(F),2002,Jan,Norway,NOR
-7.44(C) 18.62(F),2004,Jan,China,CHN
-7.43(C) 18.62(F),2008,Feb,Armenia,ARM
-7.42(C) 18.64(F),2007,Jan,Sweden,SWE
-7.41(C) 18.65(F),2007,Feb,Kazakhstan,KAZ
-7.41(C) 18.66(F),2012,Dec,China,CHN
-7.37(C) 18.73(F),2006,Jan,China,CHN
-7.36(C) 18.75(F),2009,Jan,Sweden,SWE
-7.36(C) 18.75(F),2005,Feb,Sweden,SWE
-7.36(C) 18.75(F),2014,Dec,Tajikistan,TJK
-7.35(C) 18.77(F),2002,Jan,Armenia,ARM
-7.34(C) 18.79(F),2016,Jan,Belarus,BLR
-7.32(C) 18.83(F),2010,Jan,Ukraine,UKR
-7.30(C) 18.86(F),2006,Feb,Latvia,LVA
-7.30(C) 18.86(F),2004,Feb,Norway,NOR
-7.28(C) 18.90(F),2008,Jan,Turkmenistan,TKM
-7.28(C) 18.90(F),2001,Dec,Norway,NOR
-7.28(C) 18.90(F),2009,Jan,China,CHN
-7.27(C) 18.91(F),2010,Nov,Mongolia,MNG
-7.27(C) 18.91(F),2005,Dec,China,CHN
-7.24(C) 18.97(F),2015,Jan,Norway,NOR
-7.23(C) 18.99(F),2014,Jan,Estonia,EST
-7.23(C) 18.99(F),2005,Feb,Liechtenstein,LIE
-7.22(C) 19.00(F),2006,Jan,Lithuania,LTU
-7.21(C) 19.01(F),2010,Nov,Sweden,SWE
-7.21(C) 19.02(F),2010,Nov,Norway,NOR
-7.21(C) 19.03(F),2015,Feb,Kyrgyzstan,KGZ
-7.21(C) 19.03(F),2013,Nov,Mongolia,MNG
-7.16(C) 19.11(F),2004,Feb,Sweden,SWE
-7.16(C) 19.12(F),2010,Jan,China,CHN
-7.14(C) 19.15(F),2013,Dec,Georgia,GEO
-7.12(C) 19.18(F),2007,Jan,Norway,NOR
-7.12(C) 19.18(F),2016,Dec,Korea. Democratic People's Republic of,PRK
-7.11(C) 19.20(F),2005,Dec,Sweden,SWE
-7.09(C) 19.24(F),2006,Nov,Mongolia,MNG
-7.07(C) 19.27(F),2004,Apr,Russia,RUS
-7.07(C) 19.27(F),2009,Jan,Georgia,GEO
-7.07(C) 19.28(F),2005,Feb,Norway,NOR
-7.07(C) 19.28(F),2003,Feb,Ukraine,UKR
-7.06(C) 19.29(F),2003,Feb,Belarus,BLR
-7.06(C) 19.29(F),2003,Feb,Sweden,SWE
-7.05(C) 19.31(F),2011,Feb,Korea. Democratic People's Republic of,PRK
-7.04(C) 19.33(F),2007,Dec,Tajikistan,TJK
-7.03(C) 19.35(F),2005,Dec,Kazakhstan,KAZ
-7.02(C) 19.37(F),2003,Jan,Tajikistan,TJK
-7.01(C) 19.38(F),2001,Dec,Estonia,EST
-7.00(C) 19.39(F),2004,Dec,Armenia,ARM
-7.00(C) 19.40(F),2009,Mar,Mongolia,MNG
-7.00(C) 19.40(F),2010,Dec,Lithuania,LTU
-6.99(C) 19.42(F),2001,Mar,Sweden,SWE
-6.99(C) 19.42(F),2010,Mar,Finland,FIN
-6.97(C) 19.45(F),2010,Jan,Liechtenstein,LIE
-6.96(C) 19.48(F),2001,Dec,China,CHN
-6.94(C) 19.52(F),2016,Dec,Armenia,ARM
-6.92(C) 19.54(F),2000,Feb,Kazakhstan,KAZ
-6.92(C) 19.55(F),2007,Jan,Georgia,GEO
-6.91(C) 19.57(F),2007,Feb,Belarus,BLR
-6.89(C) 19.60(F),2001,Dec,Ukraine,UKR
-6.89(C) 19.60(F),2013,Jan,Belarus,BLR
-6.88(C) 19.62(F),2010,Dec,Belarus,BLR
-6.87(C) 19.63(F),2006,Jan,Slovakia,SVK
-6.86(C) 19.65(F),2004,Jan,Estonia,EST
-6.86(C) 19.66(F),2015,Dec,Korea. Democratic People's Republic of,PRK
-6.86(C) 19.66(F),2000,Mar,Mongolia,MNG
-6.84(C) 19.69(F),2007,Jan,China,CHN
-6.83(C) 19.71(F),2010,Jan,Poland,POL
-6.81(C) 19.75(F),2013,Feb,Liechtenstein,LIE
-6.79(C) 19.78(F),2007,Dec,Korea. Democratic People's Republic of,PRK
-6.78(C) 19.79(F),2004,Jan,Tajikistan,TJK
-6.78(C) 19.80(F),2008,Feb,China,CHN
-6.76(C) 19.83(F),2015,Feb,Korea. Democratic People's Republic of,PRK
-6.75(C) 19.85(F),2003,Dec,Finland,FIN
-6.74(C) 19.87(F),2004,Feb,Kyrgyzstan,KGZ
-6.74(C) 19.87(F),2000,Dec,Kazakhstan,KAZ
-6.73(C) 19.88(F),2014,Jan,Belarus,BLR
-6.72(C) 19.90(F),2006,Apr,Canada,CAN
-6.72(C) 19.90(F),2005,Apr,Canada,CAN
-6.71(C) 19.91(F),2006,Jan,Poland,POL
-6.71(C) 19.92(F),2006,Jun,Greenland,GRL
-6.71(C) 19.92(F),2003,Feb,Liechtenstein,LIE
-6.70(C) 19.95(F),2005,Feb,China,CHN
-6.69(C) 19.95(F),2010,Nov,Finland,FIN
-6.69(C) 19.95(F),2014,Dec,China,CHN
-6.69(C) 19.96(F),2004,Jan,Lithuania,LTU
-6.68(C) 19.98(F),2003,Dec,Kazakhstan,KAZ
-6.67(C) 19.99(F),2009,Jan,Norway,NOR
-6.65(C) 20.03(F),2002,Dec,China,CHN
-6.65(C) 20.03(F),2001,Dec,Latvia,LVA
-6.65(C) 20.03(F),2000,Jan,Armenia,ARM
-6.64(C) 20.04(F),2013,Feb,Finland,FIN
-6.64(C) 20.04(F),2016,Dec,Georgia,GEO
-6.64(C) 20.04(F),2014,Jan,Latvia,LVA
-6.64(C) 20.05(F),2006,Feb,Kyrgyzstan,KGZ
-6.58(C) 20.15(F),2002,Nov,Sweden,SWE
-6.58(C) 20.16(F),2011,Dec,China,CHN
-6.57(C) 20.18(F),2010,Dec,Tajikistan,TJK
-6.56(C) 20.19(F),2003,Dec,Tajikistan,TJK
-6.56(C) 20.20(F),2012,Dec,Estonia,EST
-6.56(C) 20.20(F),2006,Feb,Lithuania,LTU
-6.55(C) 20.20(F),2014,Feb,Uzbekistan,UZB
-6.55(C) 20.21(F),2004,Jan,United States,USA
